tree_type,d,phase,delete_count,total_deleted_so_far,deletion_time_sec,deleted_success_count,deleted_absent_count,remaining_sample_count,remaining_sample_found_count,height_after_delete,node_count_after_delete,split_count_after_delete,redistribution_count_after_delete,two_to_three_split_count_after_delete,utilization_after_delete,valid_after_delete,deleted_absent_pass,remaining_found_pass,valid,validation_message
BTree,3,delete_10_percent,10000,10000,0.244994137,10000,10000,10000,10000,14,68487,124557,0,0,0.657059004,True,True,True,True,PASS
BTree,3,delete_20_percent_total,10000,20000,0.319376643,10000,20000,10000,10000,14,62009,177372,0,0,0.645067651,True,True,True,True,PASS
BPlusTree,3,delete_10_percent,10000,10000,0.086566239,10000,10000,10000,10000,14,113721,116779,0,0,0.681364919,True,True,True,True,PASS
BPlusTree,3,delete_20_percent_total,10000,20000,0.099915661,10000,20000,10000,10000,14,108518,116779,0,0,0.653693396,True,True,True,True,PASS
BStarTree,3,delete_10_percent,10000,10000,0.078554711,10000,10000,10000,10000,12,60203,62400,47608,62389,0.747471056,True,True,True,True,PASS
BStarTree,3,delete_20_percent_total,10000,20000,0.096228216,10000,20000,10000,10000,12,56543,62400,47608,62389,0.707426207,True,True,True,True,PASS
BTree,5,delete_10_percent,10000,10000,0.143522988,10000,10000,10000,10000,9,34364,43123,0,0,0.654754976,True,True,True,True,PASS
BTree,5,delete_20_percent_total,10000,20000,0.139998745,10000,20000,10000,10000,9,31441,51178,0,0,0.636112083,True,True,True,True,PASS
BPlusTree,5,delete_10_percent,10000,10000,0.084591622,10000,10000,10000,10000,9,45904,46812,0,0,0.672779061,True,True,True,True,PASS
BPlusTree,5,delete_20_percent_total,10000,20000,0.077898745,10000,20000,10000,10000,9,43654,46812,0,0,0.639935630,True,True,True,True,PASS
BStarTree,5,delete_10_percent,10000,10000,0.071282683,10000,10000,10000,10000,8,29856,30184,39428,30177,0.753617363,True,True,True,True,PASS
BStarTree,5,delete_20_percent_total,10000,20000,0.052141813,10000,20000,10000,10000,8,28651,30184,39428,30177,0.698055914,True,True,True,True,PASS
BTree,10,delete_10_percent,10000,10000,0.073238511,10000,10000,10000,10000,6,16060,16381,0,0,0.622665006,True,True,True,True,PASS
BTree,10,delete_20_percent_total,10000,20000,0.055415330,10000,20000,10000,10000,6,15145,16381,0,0,0.586919042,True,True,True,True,PASS
BPlusTree,10,delete_10_percent,10000,10000,0.057762639,10000,10000,10000,10000,6,17896,17939,0,0,0.654441713,True,True,True,True,PASS
BPlusTree,10,delete_20_percent_total,10000,20000,0.042286817,10000,20000,10000,10000,6,17548,17939,0,0,0.601910949,True,True,True,True,PASS
BStarTree,10,delete_10_percent,10000,10000,0.091456269,10000,10000,10000,10000,6,13053,13049,31821,13044,0.766107408,True,True,True,True,PASS
BStarTree,10,delete_20_percent_total,10000,20000,0.040786432,10000,20000,10000,10000,6,12976,13049,31821,13044,0.685025346,True,True,True,True,PASS
